	id	name	url_key	url_path	type	short_description	price	list_price	discount	discount_rate	rating_average	review_count	order_count	thumbnail_url	productset_group_name	categories
5143	89152267	Hạt Điều Rang Muối Vỏ Lụa Bazanland 250g	hat-dieu-rang-muoi-vo-lua-bazanland-250g-p89152267	hat-dieu-rang-muoi-vo-lua-bazanland-250g-p89152267.html?spid=89152268	simple	"Hạt Điều Rang Muối Vỏ Lụa – Bazanland
Xuất sứ: Việt Nam
Trọng lượng: 
- 120g: 75,000đ
- 250g: 135,000đ
- 450g: 225,000đ
++ Hạt điều Bình Phước có hương thơm đặc trưng, vị ngọt nhẹ, bùi béo… khiến..."	135000	135000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/4a/8b/d0/6fa91ee7f472e8fb0a83fb16b17d6b73.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5144	75701285	Hạt Điều EPCO FOODS - Hũ 200g	hat-dieu-epco-foods-hu-200g-p75701285	hat-dieu-epco-foods-hu-200g-p75701285.html?spid=75701289	configurable	"Mô tả sản phẩm

Sản phẩm sử dụng 100% nguyên liệu tự nhiên và được đóng gói tại Việt Nam bởi Chi nhánh Công ty TNHH EPCO FOODS.
Không hóa chất, không chất bảo quản
Hạt Điều là một trong những loại..."	130000	130000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/b5/e9/23/737b107a898079286b6d32068405998c.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5145	75697010	Hạt Chia Nam Mỹ EPCO FOODS - Hũ	hat-chia-nam-my-epco-foods-hu-p75697010	hat-chia-nam-my-epco-foods-hu-p75697010.html?spid=75697012	configurable	Trên quy trình gieo trồng được kiểm soát và chọn lọc vô cùng chặt chẽ, EPCO FOODS nhập khẩu nguyên liệu trực tiếp, cung cấp 100% hạt Chia Nam Mỹ có nguồn gốc hữu cơ, đảm bảo nguồn vitamin và khoáng...	100000	100000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/1f/44/f6/7e2d3b02da8bf615487741da4bd8f665.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5146	87573716	Hạt Macca 350g	hat-macca-350g-p87573716	hat-macca-350g-p87573716.html?spid=87573720	simple	Thơm ngon bổ dưỡng hấp dẫn ăn là ghiền	118800	118800	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/00/8b/a1/f54a9bd8ad12612dc5b9e160c4753e25.jpg	Bách Hóa Online	"{""id"": 4420, ""name"": ""Thực phẩm ăn liền"", ""is_leaf"": true}"
5147	81994604	Hạt Điều Rang Muối Hộp Giấy 150g - FAMINUTS	hat-dieu-rang-muoi-hop-giay-150g-faminuts-p81994604	hat-dieu-rang-muoi-hop-giay-150g-faminuts-p81994604.html?spid=81994607	simple	"Hạt Điều Rang Muối Hộp Giấy 150g - FAMINUTS
GIÁ TRỊ DINH DƯỠNG TRONG 100G HẠT ĐIỀU FAMI NUTS

Cung cấp năng lượng rất cao, 100g hạt điều cung cấp 550 Kcalo năng lượng, hơn gấp 2 lần thịt bò.


Cung..."	124000	124000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/41/da/fd/061a2fd111130c3573e9e772d9461999.png	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5148	101901261	Dâu Tằm Trắng sấy khô Heritage , giàu Vitamin C, giảm cholesteron, hạ đường huyết , cải thiện sắc tố da gói 250g 	dau-tam-trang-say-kho-heritage-giau-vitamin-c-giam-cholesteron-ha-duong-huyet-cai-thien-sac-to-da-goi-250g-p101901261	dau-tam-trang-say-kho-heritage-giau-vitamin-c-giam-cholesteron-ha-duong-huyet-cai-thien-sac-to-da-goi-250g-p101901261.html?spid=101901262	simple	"- Dâu tằm trắng sấy khô Heritage  là sản phẩm mới toanh trên thị trường Việt Nam nhưng đã nổi tiếng và được ưa chuộng từ lâu trên thế giới.
- Đây là loại quả cực ngon lại nhiều công dụng tốt cho sức..."	127500	130000	2500	2	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/de/32/85/2dcb7483a5ea87b47a89922dd2f372dc.png	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5149	104295362	Mơ Vàng Thổ Nhĩ Kỳ - Sấy Dẻo	mo-vang-tho-nhi-ky-say-deo-p104295362	mo-vang-tho-nhi-ky-say-deo-p104295362.html?spid=104295363	simple	Mơ vàng Thổ Nhĩ Kỳ sấy dẻo là một trong 4 loại trái cây khô phong phú chất xơ và sắt (cùng với sung, nho khô và mận khô), chính vì vậy, Công ty Hoa Lâm đã trực tiếp nhập khẩu mơ vàng sấy dẻo từ Thổ...	188000	225600	37600	17	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/17/a0/5a/6c83b39418e01ae3f63f6c7b4ee07821.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5150	103135167	Siro TEISSEIRE Việt Quất 700ml (TEISSEIRE BLUEBERRY SYRUP)	siro-teisseire-viet-quat-700ml-teisseire-blueberry-syrup-p103135167	siro-teisseire-viet-quat-700ml-teisseire-blueberry-syrup-p103135167.html?spid=103135168	simple	"SIRO TEISSEIRE VIỆT QUẤT 700ML
Mô tả: Siro Teisseire Việt Quất là nguyên liệu chính để pha chế nhiều loại thức uống giải khát mang lại nhiều vitamin và khoáng chất cho người sử dụng.
Tên đầy đủ..."	190000	220000	30000	14	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/86/6d/85/6b3ba285a0bacb441cc7a460de430228.jpg	Bách Hóa Online	"{""id"": 11342, ""name"": ""Sirô, đường và chất tạo ngọt"", ""is_leaf"": true}"
5151	89293918	Hạt Điều Rang Muối Vỏ Lụa Bazanland 450g	hat-dieu-rang-muoi-vo-lua-bazanland-450g-p89293918	hat-dieu-rang-muoi-vo-lua-bazanland-450g-p89293918.html?spid=89293919	simple	"Hạt Điều Rang Muối Vỏ Lụa – Bazanland
Xuất sứ: Việt Nam
Trọng lượng: 
- 120g: 75,000đ
- 250g: 135,000đ
- 450g: 225,000đ
++ Hạt điều Bình Phước có hương thơm đặc trưng, vị ngọt nhẹ, bùi béo… khiến..."	225000	225000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/c2/7b/e6/6ee735d166fbf2b42cd771ff714bb07a.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5152	919710	Combo 5 Hũ Hạt Sen Sấy Hải Long (230g / Hũ)	combo-5-hat-sen-say-hai-long-230g-hu-p919710	combo-5-hat-sen-say-hai-long-230g-hu-p919710.html?spid=924308	simple	  Combo 5 Hũ Hạt Sen Sấy Hải Long (230g / Hũ)  với thành phần hạt sen nguyên chất, được bóc tách vỏ cẩn thận nhưng vẫn đảm bảo độ giòn, ngọt pha chút bùi bùi rất riêng         của loại hạt giàu dinh...	1030000	1030000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/media/catalog/product/5/_/5.u5530.d20170918.t182147.619367.jpg	Bách Hóa Online	"{""id"": 4420, ""name"": ""Thực phẩm ăn liền"", ""is_leaf"": true}"
5153	102879837	Siro MONIN Trà Xanh 700ml (MONIN GREEN TEA SYRUP)	siro-monin-tra-xanh-700ml-monin-green-tea-syrup-p102879837	siro-monin-tra-xanh-700ml-monin-green-tea-syrup-p102879837.html?spid=102879839	simple	"Siro Monin Trà Xanh chai 1L
 Xuất sứ: Pháp
 Dung tích: chai 700 ml.
 Hạn sử dụng: 18 tháng kể từ ngày sản xuất.
 Điều kiện bảo quản: Bảo quản nơi sạch sẽ, thoáng mát, khô ráo và..."	205000	220000	15000	7	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/d0/ae/db/0bd3d1a430c8746bcfe5e75868930ae5.jpg	Bách Hóa Online	"{""id"": 11342, ""name"": ""Sirô, đường và chất tạo ngọt"", ""is_leaf"": true}"
5154	98163417	Gạo Thơm Đặc Sản ST25 Hạt Ngọc Trời Túi 5Kg - Cơm mềm dẻo, vị ngọt, thơm nhẹ - Đạt giải gạo ngon nhất thế giới 2019	gao-thom-dac-san-st25-hat-ngoc-troi-tui-5kg-com-mem-deo-vi-ngot-thom-nhe-dat-giai-gao-ngon-nhat-the-gioi-2019-p98163417	gao-thom-dac-san-st25-hat-ngoc-troi-tui-5kg-com-mem-deo-vi-ngot-thom-nhe-dat-giai-gao-ngon-nhat-the-gioi-2019-p98163417.html?spid=98163418	simple	"GẠO HẠT NGỌC TRỜI ST25 - ĐẠT GIẢI GẠO NGON NHẤT THẾ GIỚI 2019Gạo Hạt Ngọc Trời ST25 là sản phẩm của giống lúa ST25 "" Đoạt giải gạo ngon nhất thế giới 2019"" được Tập Đoàn Lộc Trời trồng trên vùng..."	195000	215000	20000	9	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/d1/4c/72/cbae58049279c1760cc536326e9749b2.jpg	Bách Hóa Online	"{""id"": 8292, ""name"": ""Gạo, nếp"", ""is_leaf"": true}"
5155	103125226	Siro Lamode Hương Cà Phê/ Khoai Môn / Sâm dứa	siro-lamode-huong-ca-phe-khoai-mon-sam-dua-p103125226	siro-lamode-huong-ca-phe-khoai-mon-sam-dua-p103125226.html	configurable	Syrup hay còn gọi là Siro, là dung dịch lỏng được làm từ nước ép trái cây, tinh dầu và hương hoa. Mỗi thành phần nguyên liệu làm nên Syrup khác nhau sẽ cho ra những loại Syrup đặc trưng mang hương vị...	29700	29700	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/61/1e/0b/8c64948549265bb3aad022ce6fd71ce6.jpg	Bách Hóa Online	"{""id"": 11342, ""name"": ""Sirô, đường và chất tạo ngọt"", ""is_leaf"": true}"
5156	40291929	Kê vàng hữu cơ tách vỏ Davert 500g	ke-vang-huu-co-tach-vo-davert-500g-p40291929	ke-vang-huu-co-tach-vo-davert-500g-p40291929.html?spid=103824925	simple	"Hạt kê vàng hữu cơ Davert được sản xuất theo quy trình hữu cơ được kiểm soát, đảm bảo chất lượng.
Sản phẩm là lựa chọn tuyệt vời cho các món ăn nhẹ, salad, làm sữa hạt, món soup hay chế biến các món..."	140000	140000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/02/bf/0e/664b4a20476f8fe58a44e1e1ad1ddde1.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5157	104367304	Hạt Dẻ Cười Mỹ Rang Muối Hồng Himalaya Smile Nuts hộp 165g	hat-de-cuoi-my-rang-muoi-hong-himalaya-smile-nuts-hop-165g-p104367304	hat-de-cuoi-my-rang-muoi-hong-himalaya-smile-nuts-hop-165g-p104367304.html?spid=104367305	simple	   Hạt Dẻ Cười Mỹ Rang Muối Hồng Himalaya - món ngon dành cho sức khỏe. Từ lâu hạt Dẻ cười đã được biết đến nhờ hương vị bùi bùi giòn ngọt, không chỉ vậy hạt Dẻ cười còn chứa nhiều dưỡng chất có lợi...	75000	130000	55000	42	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/ff/13/55/6671d85337094d8a7cbf10489a400644.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
5158	104560800	BỊCH 500G LẠP XƯỞNG KHÔ THỊT HEO LOẠI NGON NHƯ HÌNH THƯƠNG HIỆU TÂN LỘC PHÁT	bich-500g-lap-xuong-kho-thit-heo-loai-ngon-nhu-hinh-thuong-hieu-tan-loc-phat-p104560800	bich-500g-lap-xuong-kho-thit-heo-loai-ngon-nhu-hinh-thuong-hieu-tan-loc-phat-p104560800.html?spid=104560801	simple	"****Hạn Sử Dụng : In trên bao bì
Sản phẩm có 2 tháng sử dụng sau khi mở túi
Cách bảo quản: phơi nắng hoặc để tủ lạnh
****Xuất xứ: Bến Tre
Sản phẩm Lạp Xưởng nhà làm:
+ Trọng Lượng: mỗi bịch 500G
+ Đã..."	65000	120000	55000	46	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/27/38/c8/d01dd119ea0abb01e2f26d20fbe0e21b.jpg	Bách Hóa Online	"{""id"": 11304, ""name"": ""Đặc sản Việt Nam"", ""is_leaf"": true}"
