	id	name	url_key	url_path	type	short_description	price	list_price	discount	discount_rate	rating_average	review_count	order_count	thumbnail_url	productset_group_name	categories
162	87959444	Notebook HP Probook 450 G8_2H0Y1PA ( i7-1165G7/16GD4/512GSSD/15.6FHD_1000PCY/WL/BT/3C/ALU/BẠC/W10SL/LED KB/2G_MX450)- Hàng Chính Hãng	notebook-hp-probook-450-g8_2h0y1pa-i7-1165g7-16gd4-512gssd-15-6fhd_1000pcy-wl-bt-3c-alu-bac-w10sl-led-kb-2g_mx450-hang-chinh-hang-p87959444	notebook-hp-probook-450-g8_2h0y1pa-i7-1165g7-16gd4-512gssd-15-6fhd_1000pcy-wl-bt-3c-alu-bac-w10sl-led-kb-2g_mx450-hang-chinh-hang-p87959444.html?spid=87959445	simple	"*Mô tả sản phẩm:
Thông số kỹ thuật:
- Model: 450 G8 2H0Y1PA
- Bộ VXL: Core i7 1165G7 2.80GHz-12Mb
- CPU: Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )
- RAM: 1 x 16GB DDR4 3200MHz ( 2..."	30500000	31400000	900000	3	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/da/ef/80/916f755be140cd32f893adc892f96422.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
163	39940258	Laptop Acer Aspire A514-52-516K NX.HMHSV.002 Core i5-10210U/ Win10 (14 FHD) - Hàng Chính Hãng	laptop-acer-aspire-a514-52-516k-nx-hmhsv-002-core-i5-10210u-win10-14-fhd-hang-chinh-hang-p39940258	laptop-acer-aspire-a514-52-516k-nx-hmhsv-002-core-i5-10210u-win10-14-fhd-hang-chinh-hang-p39940258.html?spid=103637102	simple	"Thiết kế sang trọng phong cách
Laptop Acer Aspire A514-52-516K NX.HMHSV.002 có lớp vỏ được chế tạo từ chất liệu nhôm cao cấp với các họa tiết phây xước đem lại vẻ ngoài cực kỳ sang trọng từ cái nhìn..."	13290000	14490000	1200000	8	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/9a/9a/50/8f5d06b17b20313ec1cf944a9525d18e.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
164	95995234	LAPTOP CHROMEBOOK TOUCH (NL6D) - Hàng Chính Hãng	laptop-chromebook-touch-nl6d-hang-chinh-hang-p95995234	laptop-chromebook-touch-nl6d-hang-chinh-hang-p95995234.html?spid=95995235	simple	"



Designed for Education: Unique Features


●              Unique features that promote learning
●              Rotatable camera with optional snap-on magnification lens that supports scientific..."	11500000	12500000	1000000	8	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/c1/2f/4e/4e5917852382db6a40ae479ac73db52a.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29012, ""name"": ""Chromebooks"", ""is_leaf"": true}"
165	81534015	Laptop MSI GS66 Stealth 10UE-200VN (Core i7-10870H/ 16GB (8GBx2) DDR4 3200MHz/ 2TB SSD PCIE G3X4/ RTX3060 Max-Q 6GB GDDR6/ 15.6 FHD IPS, 300Hz/ Win10) - Hàng Chính Hãng	laptop-msi-gs66-stealth-10ue-200vn-core-i7-10870h-16gb-8gbx2-ddr4-3200mhz-2tb-ssd-pcie-g3x4-rtx3060-max-q-6gb-gddr6-15-6-fhd-ips-300hz-win10-hang-chinh-hang-p81534015	laptop-msi-gs66-stealth-10ue-200vn-core-i7-10870h-16gb-8gbx2-ddr4-3200mhz-2tb-ssd-pcie-g3x4-rtx3060-max-q-6gb-gddr6-15-6-fhd-ips-300hz-win10-hang-chinh-hang-p81534015.html?spid=81534016	simple	"Thiết kế Core Black sắc sảo
Laptop MSI GS66 Stealth 10UE-200VN (Core i7-10870H/ 16GB (8GBx2) DDR4 3200MHz/ 2TB SSD PCIE G3X4/ RTX3060 Max-Q 6GB GDDR6/ 15.6 FHD IPS, 300Hz/ Win10) - Hàng Chính Hãng..."	52439000	58990000	6551000	11	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/dd/13/6d/388911242a4ced406f12c45cc33c59f0.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 5584, ""name"": ""Laptop Gaming"", ""is_leaf"": true}"
166	98070464	Laptop Dell XPS 13 7390 Core i7-10510U / 8GB / 256GB / Full HD, Windows 10 - Hàng Nhập Khẩu Mỹ	laptop-dell-xps-13-7390-core-i7-10510u-8gb-256gb-full-hd-windows-10-hang-nhap-khau-my-p98070464	laptop-dell-xps-13-7390-core-i7-10510u-8gb-256gb-full-hd-windows-10-hang-nhap-khau-my-p98070464.html?spid=98070465	simple	"LAPTOP DELL XPS 13 7390 - BRAND NEW NHẬP KHẨU TỪ MỸ
 
——————- THÔNG SỐ KỸ THUẬT ——————-

10th Gen Intel Core i7-10510U Processor
8GB LPDDR4x SDRAM 3733MHz RAM
256GB PCIe NVMe x4 Solid State..."	29950000	36950000	7000000	19	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/08/83/a8/f1d83e0766eecdaaccf848bd23c9c9a9.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
167	87004942	Laptop HP 340s G7 i7-1065G7/8GD4/256GSSD/14.0FHD/FP/WL/BT/3C41WHr/XÁM/W10SL_36A36PA Hàng chính hãng	laptop-hp-340s-g7-i7-1065g7-8gd4-256gssd-14-0fhd-fp-wl-bt-3c41whr-xam-w10sl_36a36pa-hang-chinh-hang-p87004942	laptop-hp-340s-g7-i7-1065g7-8gd4-256gssd-14-0fhd-fp-wl-bt-3c41whr-xam-w10sl_36a36pa-hang-chinh-hang-p87004942.html?spid=87004943	simple	"Model: 36A36PA_DCPU: Intel Core i7-1065G7RAM/SSD: 8GB DDR4 /256GB SSDVGA : Intel UHD GraphicsMàn hình: 14 Inch Full HDHệ điều hành:Windows 10 HomeMàu sắc:Xám
HP là một trong những thương hiệu laptop..."	19390000	19990000	600000	3	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/78/a6/c6/204fd34e691b1edfb087739177833baf.png	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
168	86161961	Laptop HP 340s G7 )i5-1035G1/8GD4/512GSSD/14.0FHD/FP/WL/BT/3C41WHr/XÁM/W10SL) 36A35PA - Hàng chính hãng	laptop-hp-340s-g7-i5-1035g1-8gd4-512gssd-14-0fhd-fp-wl-bt-3c41whr-xam-w10sl-36a35pa-hang-chinh-hang-p86161961	laptop-hp-340s-g7-i5-1035g1-8gd4-512gssd-14-0fhd-fp-wl-bt-3c41whr-xam-w10sl-36a35pa-hang-chinh-hang-p86161961.html?spid=86161962	simple	Có thiết kế trang nhã sang trọng khi được phủ một lớp màu bạc bóng bẩy, những đường nét tinh tế cao cấp đảm bảo tính thẩm mĩ cao. Với trọng lượng chỉ 1.3kg có thể dễ dàng để  trong ba lô hay túi xách...	16890000	17990000	1100000	6	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/34/0e/57/98d08856cc2c33f08c71a2fcd594ddd4.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
169	48393012	Máy tính laptop Surface Book 2 15 Inch Core I7 Ram 16Gb 1Tb (New) - Hàng chính hãng 	may-tinh-laptop-surface-book-2-15-inch-core-i7-ram-16gb-1tb-new-hang-chinh-hang-p48393012	may-tinh-laptop-surface-book-2-15-inch-core-i7-ram-16gb-1tb-new-hang-chinh-hang-p48393012.html?spid=48393014	configurable	"



Màn hình


15 inch




Độ phân giải


3240 x 2160, (260 PPI)




Hệ điều hành


Windows 10 Pro




CPU


Intel Core i5




Bộ nhớ


SSD 256GB




RAM


8GB




Đồ họa


GPU tích hợp đồ họa Intel..."	60000000	85690000	25690000	30	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/35/3c/ba/5645414658d39feee2f5a3ce6b614470.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
170	76472905	Microsoft Surface Pro 7 Model QWW-00001  I7/16Gb/ 256Gb - Kèm bàn phím- Material black-New seal-  Hàng nhập khẩu	microsoft-surface-pro-7-model-qww-00001-i7-16gb-256gb-kem-ban-phim-material-black-new-seal-hang-nhap-khau-p76472905	microsoft-surface-pro-7-model-qww-00001-i7-16gb-256gb-kem-ban-phim-material-black-new-seal-hang-nhap-khau-p76472905.html?spid=76472906	simple	"

Mô tả sản phẩm

SP chính hãng, mới 100%, nguyên seal nhà sản xuất.
CPU: Quad-core 10th Gen Intel Core i7-1065G7 Processor(1.30Ghz up to 3.90GHz, 8MB Cache)
Ram: 16GB LPDDR4
Ổ cứng: SSD 256GB
VGA:..."	38900000	44900000	6000000	13	5.0	1	0	https://salt.tikicdn.com/cache/280x280/ts/product/79/f1/39/16c5f3ff99d3be074704451ea4aedf5d.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
171	73833676	Laptop Acer Swift 3X SF314-510G-5742 NX.A10SV.003 (Core i5-1135G7/ 16GB LPDDR4X 4266MHz/ 1TB SSD M.2 PCIE Gen3x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng	laptop-acer-swift-3x-sf314-510g-5742-nx-a10sv-003-core-i5-1135g7-16gb-lpddr4x-4266mhz-1tb-ssd-m-2-pcie-gen3x4-14-fhd-ips-win10-hang-chinh-hang-p73833676	laptop-acer-swift-3x-sf314-510g-5742-nx-a10sv-003-core-i5-1135g7-16gb-lpddr4x-4266mhz-1tb-ssd-m-2-pcie-gen3x4-14-fhd-ips-win10-hang-chinh-hang-p73833676.html?spid=73833677	simple	"Thiết kế nguyên khối sang trọng
Laptop Acer Swift 3X SF314-510G-5742 NX.A10SV.003 được thiết kế màn hình tràn viền cạnh siêu mỏng chỉ 6.3mm. Vỏ máy làm từ hợp kim nguyên khối cứng cáp, sang trọng...."	22999000	26990000	3991000	15	1.0	1	0	https://salt.tikicdn.com/cache/280x280/ts/product/02/4e/79/7377650a328edf97b61fe6fe9448cfd9.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 2, ""name"": ""Root"", ""is_leaf"": false}"
172	42704938	Laptop MSI GF75 Thin 9RCX-432VN (Core i5-9300H/ 8GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ GTX 1050Ti 4GB/ 17.3 FHD IPS/ Win10) - Hàng Chính Hãng	laptop-msi-gf75-thin-9rcx-432vn-core-i5-9300h-8gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-gtx-1050ti-4gb-17-3-fhd-ips-win10-hang-chinh-hang-p42704938	laptop-msi-gf75-thin-9rcx-432vn-core-i5-9300h-8gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-gtx-1050ti-4gb-17-3-fhd-ips-win10-hang-chinh-hang-p42704938.html?spid=49524622	simple	"Thiết kế hiện đại, nổi bật
Laptop MSI GF75 Thin 9RCX-432VN có thiết kế đơn giản, tinh tế, gọn nhẹ. Nắp máy và thân máy được làm bằng kim loại mang hơi hướng của tương lai thể hiện sự hiện đại vượt..."	21900000	21990000	90000	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/b2/02/40/1add08bbc0d04c51e29151dbe25e0bbb.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
173	99461825	Laptop HP 245 G8 (345R8PA) (R5 3500U/4GB RAM/256GB SSD/14 FHD/Win/Bạc) - Hàng chính hãng	laptop-hp-245-g8-345r8pa-r5-3500u-4gb-ram-256gb-ssd-14-fhd-win-bac-hang-chinh-hang-p99461825	laptop-hp-245-g8-345r8pa-r5-3500u-4gb-ram-256gb-ssd-14-fhd-win-bac-hang-chinh-hang-p99461825.html?spid=99461826	simple	"
Laptop HP 245 G8 R5 (345R8PA) là phiên bản nâng cấp nhẹ của series G7 với thiết kế gọn gàng hơn, hiệu năng mạnh mẽ và nhiều tính năng tiện ích hơn, phù hợp cho các bạn sinh viên, dân làm việc văn..."	14190000	14990000	800000	5	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/73/26/76/6eb35e33e14b685790dc486a4da33c2e.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
174	8286081	Microsoft Surface Pro 2018 - Core i5-8250U/8G/256GB - Hàng Chính Hãng	microsoft-surface-pro-2018-core-i5-8250u-8g-256gb-hang-chinh-hang-p8286081	microsoft-surface-pro-2018-core-i5-8250u-8g-256gb-hang-chinh-hang-p8286081.html?spid=20095191	configurable	"
Nâng tầm sức mạnh
Microsoft Surface Pro 2018 là một kiệt tác đầy tính sáng tạo, vượt ra khỏi những khuôn khổ của một chiếc laptop. Bước sang thế hệ thứ 6, với những cải tiến mạnh mẽ về sức mạnh..."	27445000	35990000	8545000	24	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/a3/f0/b1/a04255c348106f0ee126432d2f680d94.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
175	73808530	Laptop Avita Liber V14 NS14A8VNF561-SGB (Core i5-10210U / 8GB DDR4 2400MHz/ 512GB SSD M.2 SATA/ 14 FHD/ Win10) - Hàng Chính Hãng	laptop-avita-liber-v14-ns14a8vnf561-sgb-core-i5-10210u-8gb-ddr4-2400mhz-512gb-ssd-m-2-sata-14-fhd-win10-hang-chinh-hang-p73808530	laptop-avita-liber-v14-ns14a8vnf561-sgb-core-i5-10210u-8gb-ddr4-2400mhz-512gb-ssd-m-2-sata-14-fhd-win10-hang-chinh-hang-p73808530.html?spid=73808531	simple	"Thiết kế thanh lịch, trang nhã
Laptop Avita Liber V14 NS14A8VNF561-SGB mang trên mình một sự trang nhã trong thiết kế, với trọng lượng 1.3kg và kích thước 31.8 x 21.8 x 1.59 cm khiến chiếc laptop này..."	16079000	16990000	911000	5	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/88/92/16/2623ae298042b732972b1f56786ccee9.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
176	101916732	Laptop Dell Inspiron 3501(70234075) (i7 1165G7 8GB RAM/512GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen) - Hàng chính hãng	laptop-dell-inspiron-3501-70234075-i7-1165g7-8gb-ram-512gb-ssd-mx330-2g-15-6-inch-fhd-win10-den-hang-chinh-hang-p101916732	laptop-dell-inspiron-3501-70234075-i7-1165g7-8gb-ram-512gb-ssd-mx330-2g-15-6-inch-fhd-win10-den-hang-chinh-hang-p101916732.html?spid=101916734	simple	"Laptop Dell Inspiron 3501(70234075) (i7 1165G7 8GB RAM/512GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)

 
Thiết kế hướng đến sự tối giản
Laptop được thiết kế đơn giản và tinh tế, các chi tiết đều được..."	21990000	23990000	2000000	8	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/41/54/fe/a6f7c4c5f1cf406acfa4de131193c39a.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
177	47370477	Surface Pro 7 Core I5 Ram 8Gb Ssd 256Gb Brand New - Hàng chính hãng  ( giao màu ngẫu nhiên )	surface-pro-7-core-i5-ram-8gb-ssd-256gb-brand-new-hang-chinh-hang-giao-mau-ngau-nhien-p47370477	surface-pro-7-core-i5-ram-8gb-ssd-256gb-brand-new-hang-chinh-hang-giao-mau-ngau-nhien-p47370477.html?spid=56986814	simple	" 

- CPU: Intel Core i5-1035G4- Card đồ họa: Intel Iris Plus Graphics- Bộ nhớ trong: 256 GB SSD- RAM: 8 GB- Kích thước màn hình: 12.3” PixelSense Display- Độ phân giải: 2736 x 1824 pixels (267 PPI)..."	32890000	32890000	0	0	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/c7/61/b7/06c52b78acf81caad4abbdfcaf0d7048.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
178	8286686	Microsoft Surface Pro 2018 - Core i7-8650U/8G/256GB (KJU-00016) - Hàng Chính Hãng	microsoft-surface-pro-2018-core-i7-8650u-8g-256gb-kju-00016-hang-chinh-hang-p8286686	microsoft-surface-pro-2018-core-i7-8650u-8g-256gb-kju-00016-hang-chinh-hang-p8286686.html?spid=20149935	simple	"
Nâng tầm sức mạnh
Microsoft Surface Pro 2018 là một kiệt tác đầy tính sáng tạo, vượt ra khỏi những khuôn khổ của một chiếc laptop. Bước sang thế hệ thứ 6, với những cải tiến mạnh mẽ về sức mạnh..."	38080000	45990000	7910000	17	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/a3/f0/b1/9cac7b719b521fc7f5a5494bff060316.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
